Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00     1018     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      0.03     0.00     1001     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::empty() const
  0.00      0.03     0.00     1000     0.00     0.00  std::_List_iterator<int>::operator--()
  0.00      0.03     0.00     1000     0.00     0.00  std::_List_iterator<int>::operator++()
  0.00      0.03     0.00     1000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_dec_size(unsigned long)
  0.00      0.03     0.00     1000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::back()
  0.00      0.03     0.00     1000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::_M_erase(std::_List_iterator<int>)
  0.00      0.03     0.00     1000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::pop_back()
  0.00      0.03     0.00       19     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      0.03     0.00       19     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      0.03     0.00       19     0.00     0.00  std::allocator<std::_List_node<int> >::allocator()
  0.00      0.03     0.00       19     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      0.03     0.00       19     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::_List_impl()
  0.00      0.03     0.00       19     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      0.03     0.00       19     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
  0.00      0.03     0.00       19     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_base()
  0.00      0.03     0.00       19     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      0.03     0.00       19     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::list()
  0.00      0.03     0.00       19     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::~list()
  0.00      0.03     0.00       19     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.03     0.00       19     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.03     0.00       18     0.00     0.58  dfs(Graph const&, int, std::vector<bool, std::allocator<bool> >&, std::__cxx11::list<int, std::allocator<int> >&)
  0.00      0.03     0.00       18     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin()
  0.00      0.03     0.00       12     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
